Target URL,Grafana Version,CVE ID,Severity,Description,Message,Test URL,Timestamp
https://data-api.coindesk.com,,N/A,N/A,No vulnerabilities found,,,2026-05-18T22:10:46.620571
https://tools-api.cryptocompare.com,,N/A,N/A,No vulnerabilities found,,,2026-05-18T22:12:46.966349
https://acorns.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: www.acorns.com | Open redirect to external domain: www.acorns.com | Open redirect via login redirect parameter,https://acorns.com//api/snapshots,2026-05-18T22:13:43.093961
https://acorns.com,,CVE-2024-8118,CRITICAL,OAuth Authentication Bypass,OAuth endpoint accessible: /api/login/oauth2 (HTTP 301). Potential auth bypass vector.,https://acorns.com/api/login/oauth2,2026-05-18T22:13:43.093961
https://acorns.com,,CVE-2021-27358,MEDIUM,Unauthenticated POST to snapshots - DoS vector,Unauthenticated POST to snapshots - DoS vector,https://acorns.com/api/snapshots,2026-05-18T22:13:43.093961
https://apps.apple.com,,N/A,N/A,No vulnerabilities found,,,2026-05-18T22:14:27.870748
https://graphql.acorns.com,,N/A,N/A,No vulnerabilities found,,,2026-05-18T22:16:15.927077
https://www.gohenry.com,,N/A,N/A,No vulnerabilities found,,,2026-05-18T22:16:18.652879
https://www.pixpay.fr,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect via login redirect parameter,https://www.pixpay.fr//api/snapshots,2026-05-18T22:16:54.290039
https://www.pixpay.fr,,CVE-2024-8118,CRITICAL,OAuth Authentication Bypass,OAuth endpoint accessible: /api/login/oauth2 (HTTP 301). Potential auth bypass vector.,https://www.pixpay.fr/api/login/oauth2,2026-05-18T22:16:54.290039
https://www.pixpay.fr,,CVE-2021-27358,MEDIUM,Unauthenticated POST to snapshots - DoS vector,Unauthenticated POST to snapshots - DoS vector,https://www.pixpay.fr/api/snapshots,2026-05-18T22:16:54.290039
https://portal.afterpay.com,,CVE-2024-8118,CRITICAL,OAuth Authentication Bypass,OAuth endpoint accessible: /api/login/oauth2 (HTTP 302). Potential auth bypass vector.,https://portal.afterpay.com/api/login/oauth2,2026-05-18T22:17:36.469789
https://portal.afterpay.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect via login redirect parameter,https://portal.afterpay.com//api/snapshots,2026-05-18T22:17:36.469789
https://portal.afterpay.com,,CVE-2021-39226,MEDIUM,Snapshot Enumeration,"Snapshot enumeration confirmed - 50/50 test IDs accessible. Sample accessible IDs: [1, 2, 3, 4, 5]",https://portal.afterpay.com/api/snapshots/50,2026-05-18T22:17:36.469789
https://portal.afterpay.com,,CVE-2021-27358,MEDIUM,Unauthenticated POST to snapshots - DoS vector,Unauthenticated POST to snapshots - DoS vector,https://portal.afterpay.com/api/snapshots,2026-05-18T22:17:36.469789
https://afterpay.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: www.afterpay.com | Open redirect to external domain: www.afterpay.com | Open redirect via login redirect parameter,https://afterpay.com//api/snapshots,2026-05-18T22:19:33.655148
https://afterpay.com,,CVE-2024-8118,CRITICAL,OAuth Authentication Bypass,OAuth endpoint accessible: /api/login/oauth2 (HTTP 301). Potential auth bypass vector.,https://afterpay.com/api/login/oauth2,2026-05-18T22:19:33.655148
https://afterpay.com,,CVE-2021-27358,MEDIUM,Unauthenticated POST to snapshots - DoS vector,Unauthenticated POST to snapshots - DoS vector,https://afterpay.com/api/snapshots,2026-05-18T22:19:33.655148
